91164,"0110.1","1606-04-20T00:00:00Z","1607-10-02T00:00:00Z","Texel","Goa","Texel-Goa",24
91165,"0111.1","1606-04-20T00:00:00Z","1607-10-02T00:00:00Z","Texel","Goa","Texel-Goa",24
91166,"0112.1","1606-05-14T00:00:00Z","1607-10-02T00:00:00Z","Wielingen","Goa","Wielingen-Goa",25
91167,"0113.1","1606-05-14T00:00:00Z","1607-10-02T00:00:00Z","Wielingen","Goa","Wielingen-Goa",25
91168,"0114.2","1606-05-14T00:00:00Z","T00:00:00Z","Wielingen",\N,"Wielingen",26
91169,"0115.2","1606-12-13T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
91170,"0116.2","1606-12-13T00:00:00Z","1608-01- T00:00:00Z","Texel","Atjeh","Texel-Atjeh",16
91171,"0117.1","1607-04-26T00:00:00Z","1607-10-26T00:00:00Z","Zeeland","Malabar","Zeeland-Malabar",27
91172,"0118.1","1607-12-21T00:00:00Z","1608-09-18T00:00:00Z","Wielingen","Goa","Wielingen-Goa",25
91173,"0119.1","1607-12-21T00:00:00Z","1608-09-18T00:00:00Z","Wielingen","Goa","Wielingen-Goa",25
91174,"0120.2","1607-12-21T00:00:00Z","1608-09-18T00:00:00Z","Wielingen","Goa","Wielingen-Goa",25
91175,"0121.2","1607-12-22T00:00:00Z","1608-09-18T00:00:00Z","Texel","Goa","Texel-Goa",24
91176,"0122.1","1607-12-22T00:00:00Z","1608-09-18T00:00:00Z","Texel","Goa","Texel-Goa",24
91177,"0123.1","1607-12-22T00:00:00Z","1608-09-18T00:00:00Z","Goeree","Goa","Goeree-Goa",28
91178,"0124.1","1607-12-22T00:00:00Z","1608-09-18T00:00:00Z","Goeree","Goa","Goeree-Goa",28
91179,"0125.2","1607-12-22T00:00:00Z","1608-09-18T00:00:00Z","Texel","Goa","Texel-Goa",24
91180,"0126.2","1607-12-22T00:00:00Z","1608-09-18T00:00:00Z","Texel","Goa","Texel-Goa",24
91181,"0127.1","1607-12-22T00:00:00Z","1608-09-18T00:00:00Z","Texel","Goa","Texel-Goa",24
91182,"0128.1","1607-12-22T00:00:00Z","1608-09-18T00:00:00Z","Texel","Goa","Texel-Goa",24
91183,"0129.2","1607-12-22T00:00:00Z","1608-09-19T00:00:00Z","Texel","Goa","Texel-Goa",24
91184,"0130.2","1607-12-22T00:00:00Z","1608-09-19T00:00:00Z","Goeree","Goa","Goeree-Goa",28
91185,"0131.2","1608-1608-1608T00:00:00Z","T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91186,"0132.1","1608-04-15T00:00:00Z","1608-12-26T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91187,"0133.1","1609-04-06T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
91188,"0134.1","autumn 1609-autumn 1609-autumn 1609T00:00:00Z","1610-10-01T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91189,"0135.1","1610-01-30T00:00:00Z","1610-12-19T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91190,"0136.1","1610-01-30T00:00:00Z","T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91191,"0153.1","1611-12-29T00:00:00Z","1612-09-08T00:00:00Z","Texel","Pulicat","Texel-Pulicat",29
91192,"0154.1","1611-12-29T00:00:00Z","1612-11-28T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91193,"0155.1","1611-12-29T00:00:00Z","1612-11-28T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91194,"0156.2","1611-12-29T00:00:00Z","1612-11-28T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91195,"0157.1","1611-12-29T00:00:00Z","1612-09-08T00:00:00Z","Texel","Pulicat","Texel-Pulicat",29
91196,"0158.1","1611-12-29T00:00:00Z","1612-11-28T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91197,"0159.3","1612-01-02T00:00:00Z","1612-11-28T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91198,"0160.3","1612-01-02T00:00:00Z","1612-10-19T00:00:00Z","Goeree","Bantam","Goeree-Bantam",30
91199,"0161.3","1612-01-02T00:00:00Z","1612-11-23T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91200,"0162.1","1612-05-12T00:00:00Z","1613-02-09T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91201,"0163.3","1612-05-12T00:00:00Z","1613-02-09T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91202,"0164.1","1613-01-31T00:00:00Z","1614-01-04T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91203,"0165.1","1613-01-31T00:00:00Z","1614-01-04T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91204,"0166.1","1613-01-31T00:00:00Z","1614-01-04T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91205,"0167.1","1613-04- T00:00:00Z","1614-08-16T00:00:00Z",\N,"Bantam","Bantam",20
91206,"0168.1","1613-04-04T00:00:00Z","1614-10-31T00:00:00Z","Maas","Bantam","Maas-Bantam",17
91207,"0169.2","1613-04-04T00:00:00Z","01/02 1614-01/02 1614-05T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91208,"0170.1","1613-04-04T00:00:00Z","1613-12-12T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91209,"0171.2","1613-06-05T00:00:00Z","1614-05-05T00:00:00Z","Goeree","Bantam","Goeree-Bantam",30
91210,"0172.1","1613-07-02T00:00:00Z","1614-11-04T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91211,"0173.3","1613-07-02T00:00:00Z","1614-11-05T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91212,"0174.1","1613-07-02T00:00:00Z","1614-11-04T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91213,"0175.1","1613-07-02T00:00:00Z","1614-12-30T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91214,"0176.1","1614-02-14T00:00:00Z","1614-08-07T00:00:00Z","Maas","Bantam","Maas-Bantam",17
91215,"0177.2","1614-04-24T00:00:00Z","1615-12-02T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91216,"0178.1","1614-04-24T00:00:00Z","1615-12-02T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91217,"0179.1","1614-04-26T00:00:00Z","1615-04- T00:00:00Z","Texel","Mauritius","Texel-Mauritius",1
91218,"0180.2","1614-05-11T00:00:00Z","1615-12-02T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91219,"0181.1","1614-05-15T00:00:00Z","1615-12-02T00:00:00Z","Maas","Bantam","Maas-Bantam",17
91220,"0182.1","1614-05-15T00:00:00Z","1615-03-13T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91221,"0183.1","1614-08-08T00:00:00Z","1616-03-30T00:00:00Z","Wielingen","Ternate","Wielingen-Ternate",31
91222,"0184.1","1614-08-08T00:00:00Z","1616-03-30T00:00:00Z","Texel","Ternate","Texel-Ternate",32
91223,"0185.1","1614-08-08T00:00:00Z","1616-03-30T00:00:00Z","Texel","Ternate","Texel-Ternate",32
91224,"0186.1","1614-08-08T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
91225,"0187.1","1614-08-08T00:00:00Z","1616-03-30T00:00:00Z","Goeree","Ternate","Goeree-Ternate",33
91226,"0188.1","1614-08-08T00:00:00Z","1616-03-30T00:00:00Z","Texel","Ternate","Texel-Ternate",32
91227,"0189.1","1614-12-17T00:00:00Z","1615-12-02T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91228,"0190.1","1614-12-17T00:00:00Z","1615-08-17T00:00:00Z","Texel","Pulicat","Texel-Pulicat",29
91229,"0191.1","1615-04-05T00:00:00Z","1616-03-01T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91230,"0192.3","1615-04-05T00:00:00Z","1616-01-05T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91231,"0193.1","1615-05-18T00:00:00Z","1616-04-30T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91232,"0194.1","1615-05-18T00:00:00Z","1616-04-30T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91233,"0195.3","1615-05-18T00:00:00Z","1616-04-30T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91234,"0196.1","1615-06-14T00:00:00Z","1616-09-17T00:00:00Z","Texel","Ternate","Texel-Ternate",32
91235,"0197.1","1615-06-14T00:00:00Z","T00:00:00Z","Texel",\N,"Texel",14
91236,"0198.1","1616-01-21T00:00:00Z","1616-11-14T00:00:00Z","Maas","Bantam","Maas-Bantam",17
91237,"0199.1","1616-01-22T00:00:00Z","1616-11-14T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91238,"0200.1","1616-01-23T00:00:00Z","1616-10-24T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91239,"0201.1","1616-01-23T00:00:00Z","1616-12-14T00:00:00Z","Texel","Macassar","Texel-Macassar",34
91240,"0202.1","1616-01-23T00:00:00Z","1616-10-19T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91241,"0203.1","1616-02-07T00:00:00Z","1617-04-09T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91242,"0204.2","1616-03-19T00:00:00Z","1616-08-27T00:00:00Z","Goeree","Bantam","Goeree-Bantam",30
91243,"0205.2","1616-04-23T00:00:00Z","1617-04-09T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91244,"0206.1","1617-02-26T00:00:00Z","1617-10-23T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91245,"0207.1","1617-02-26T00:00:00Z","1618-01-07T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91246,"0208.2","1617-02-26T00:00:00Z","1617-10-26T00:00:00Z","Texel","Bantam","Texel-Bantam",3
