"ID";"Place";"DecLatitude";"DecLongitude";"ModernName";"Dutch"
"698";"Halifax";"44.6234";"-63.5689";"Halifax, Nova Scotia";NULL
"699";"Halifax Harbour";"44.6167";"-63.55";"Halifax, Nova Scotia";NULL
"700";"Halifax lighthouse";"44.6234";"-63.5689";"Halifax, Nova Scotia";NULL
"701";"Hampton Road";"36.9949";"-76.3308";NULL;NULL
"702";"Hardlandts Point";"51.0172";"-4.5227";"Hartland Point";NULL
"703";"Haroekoe";"-3.5665";"128.4954";"Pulau Haruku";NULL
"704";"Hartlepool";"54.6897";"-1.1963";"Hartlepool";NULL
"705";"Havanna";"23.1334";"-82.35";"La Habana";NULL
"706";"Haynan";"18.2803";"109.6438";"Hainan";NULL
"707";"Head of Kinsale";"51.6101";"-8.5349";"Old Head of Kinsale";NULL
"708";"Hellevoetsluis";"51.8211";"4.1285";"Hellevoetsluis, Netherlands";NULL
"709";"Helvoet";"51.8211";"4.1285";"Hellevoetsluis, Netherlands";NULL
"710";"Helvoetsluis";"51.8211";"4.1285";"Hellevoetsluis, Netherlands";NULL
"711";"Heneago";"21.05";"-73.35";NULL;NULL
"712";"Heneago isl, WI, Tortudas (estimate)";"21.05";"-73.35";NULL;NULL
"713";"Het Kanaal";"51";"1.5";"Middle of the Dover Strait";NULL
"714";"het Vlaak";"52.6";"5.4";NULL;NULL
"715";"Hiarro";"27.7299";"-18.0099";"El Hierro";NULL
"716";"High Lands of Arramoora (Arabian Peninsula)";"12.7322";"44.1382";"Jabal Kharaz";NULL
"717";"Highland of Cape Mount";"6.7239";"-11.3521";"Cape Mount";NULL
"718";"Hitland";"60.3";"-1.25";"Shetland Islands";NULL
"719";"hoek van Bantam";"-5.929";"106.1006";"Tanjung Kapo, Java, Indonesia";NULL
"720";"Hoek van de singel";"50.6667";"-1.6";"Shingles, Isle of Wight";NULL
"721";"Hoek van Lassan";"-6.6436";"111.4993";"Lasem, Java, Indonesia";NULL
"722";"Hog Island";"37.3935";"-75.7054";"Hog Island, VA/USA";NULL
"723";"Hole in the Rock";"25.8592";"-77.1832";NULL;NULL
"724";"Holy Head";"53.3";"-4.65";"Holyhead";NULL
"725";"Hong Kong (Kowloon)";"22.3215";"114.1962";NULL;NULL
"726";"Hoy (Rora) Head, Scotland (Orkneys)";"58.8788";"-3.4096";"Hoy Head";NULL
"727";"Hoy Head";"58.8788";"-3.4096";NULL;NULL
"728";"Hoyhead";"58.8788";"-3.4096";"Hoy Head";NULL
"729";"iets voorbij Fort Amsterdam";"5.8797";"-55.099";"Mouth of Surinam river, Surinam, South America";NULL
"730";"Ikanah";"9.1217";"92.7931";"Possibly Kakana on Car Nicobar";NULL
"731";"Ile de Paque";"-27.1";"-109.3333";"Easter Island, Chile";NULL
"732";"Ile Mowee";"20.7082";"-156.2573";"Maui, Hawaiian Is, USA";NULL
"733";"Ingelee";"21.7439";"88.115";"Sagar Island";NULL
"734";"Ioanna";"-12.13068056";"44.40548611";"Ile Anjouan";NULL
"735";"Isabella Bay";"19.8833";"-71.0917";NULL;NULL
"736";"Isla de Onzel";"42.3773";"-8.9374";"Isla de Ons";NULL
"737";"Isla Margarita";"10.9849";"-64.092";"Isla Margarita, Venezuela";NULL
"738";"Island Bonavista";"16.0456";"-22.7569";"Boa Vista, Cape Verdes (Punta Tarafo)";NULL
"739";"Island Cocas";"-12.177";"96.8234";"Cocos (Keeling) Island, Australia";NULL
"740";"Island de Fuogo/Fogo";"14.9499";"-24.3403";"Fogo, Cabo Verde, Africa";NULL
"741";"Island Diego Rays";"-19.7231";"63.4096";"Gambrani Island";NULL
"742";"Island Ferro";"27.7299";"-18.0099";"El Hierro";NULL
"743";"Island Johanna";"-12.13068056";"44.40548611";"Ile Anjouan";NULL
"744";"Island Kellay";"8.2914";"73.061";"Minicoy";NULL
"745";"Island of Barbuda";"17.6467";"-61.7672";NULL;NULL
"746";"Island of Comaro";"-11.75";"43.35";"Ile Grande Comore";NULL
"747";"Island of Corvo";"39.7025";"-31.1016";"Corvo, Azores";NULL
"748";"Island of Digo Rays";"-19.7231";"63.4096";"Gambrani Island";NULL
"749";"Island of Engano";"-5.4";"102.25";"Pulau Enggano";NULL
"750";"Island of Ferdinando";"-3.85";"-32.42";"Ilha Fernando de Noronha";NULL
"751";"Island of Flores";"39.4613";"-31.2248";"Flores, Azores";NULL
"752";"Island of Fogo";"14.9499";"-24.3403";"Fogo, Cabo Verde, Africa";NULL
"753";"Island of Goree";"14.6667";"-17.3985";"Island of Goree";NULL
"754";"Island of Gratiosa";"39.0327";"-28.0179";"Graciosa, Azores";NULL
"755";"Island of Luban";"13.8007";"120.3017";"Lubang Island";NULL
"756";"Island of Madeira";"32.7499";"-16.9702";"Madeira, Portugal";NULL
"757";"Island of May";"15.2271";"-23.1307";"Maio, Cape Verde";NULL
"758";"Island of Mayguana";"22.3897";"-72.9641";"Mayaguana Island";NULL
"759";"Island of Sable";"43.9354";"-59.8741";"Sable Island";NULL
"760";"Island of Sables";"43.9354";"-59.8741";"Sable Island";NULL
"761";"Island of Sall";"16.822";"-22.9098";"Sal, Cape Verde Islands";NULL
"762";"Island of Scatary";"46.0162";"-59.725";NULL;NULL
"763";"Island of Scatary (Scatarie)";"46.0162";"-59.725";NULL;NULL
"764";"Island of St Maria";"36.9977";"-25.0904";"Santa Maria, Azores";NULL
"765";"Island of Teneriffe";"28.28";"-16.65";"Tenerife, Canaries";NULL
"766";"Island off St Augustins Bay";"-23.6359";"43.5924";"Nosy Vé";NULL
"767";"Island Palma";"28.7542";"-17.8852";"La Palma, Canaries";NULL
"768";"Island Salvages";"30.1469";"-15.8659";"Ilha Selvagem Grande";NULL
"769";"Island Tercera";"38.7366";"-27.3178";"Terceira, Azores";NULL
"770";"Island Trinadada";"-20.507";"-29.3386";"Trinidade, I. Da";NULL
"771";"Island Trinidada";"-20.507";"-29.3386";"Trinidade, I. Da";NULL
"772";"Isle Dieu";"46.7112";"-2.3472";"Ile d'Yeu";NULL
"773";"Isle of Antigua";"17.0451";"-61.8487";"Antigua, Windward Islands, Carib.";NULL
"774";"Isle of Bas";"48.7457";"-4.0123";"Ile de Batz";NULL
"775";"Isle of Dieu";"46.7112";"-2.3472";"Ile d'Yeu";NULL
"776";"Isle of Flores";"39.4613";"-31.2248";"Flores, Azores";NULL
"777";"Isle of Luban";"13.8007";"120.3017";"Lubang Island";NULL
"778";"Isle of May";"15.2271";"-23.1307";"Maio, Cape Verde";NULL
"779";"Isle of May Bay";"15.1359";"-23.2127";NULL;NULL
"780";"Isle of Ray";"46.2267";"-1.47";"Ile de Ré";NULL
"781";"Isle of Ree";"46.2267";"-1.47";"Ile de Ré";NULL
"782";"Isle Ray";"46.2267";"-1.47";"Ile de Ré";NULL
"783";"Isle St Christopher";"-16.3333";"43.9667";"Chesterfield Islet";NULL
"784";"Jamaica";"17.9667";"-76.8";NULL;NULL
"785";"Jamaica (Kingston)";"17.9667";"-76.8";NULL;NULL
"786";"James Town";"-15.9169";"-5.7134";"Jamestown";NULL
"787";"Janoun";"9.9692";"76.2346";"Cochin?";NULL
"788";"Japana";"-6.5736";"110.6539";"Jepara, Java, Indonesia";NULL
"789";"Jarvis Harbour";"47.6534";"-56.1632";"Great Jervis Harbour, Newfoundland, Canada";NULL
"790";"J'at Tair Island, Red Sea";"15.55";"41.8333";"Jabal at Tair";NULL
"791";"Java east end (Tandjang Bantenan)";"-8.7183";"114.5269";NULL;NULL
"792";"Java Head";"-6.7555";"105.2176";"Java W point";"1e Hoek van Java"
"793";"Joanha";"-12.13068056";"44.40548611";"Ile Anjouan";NULL
"794";"Joanna";"-12.13068056";"44.40548611";"Ile Anjouan";NULL
"795";"Johanna";"-12.13068056";"44.40548611";"Ile Anjouan";NULL
"796";"Juan de Nova (isl), off W Madagascar";"-17.05";"42.725";NULL;NULL
"797";"Juan Fernandez, Chili (Juan Baustista)";"-33.5222";"-79.8";"Juan Fernandez Islands";NULL
"798";"Kaap (of Punt) Jaijl of Caijl?";"8.6393";"78.1294";"Punnaikayal, Tuticorin, India";NULL
"799";"Kaap Apollonia";"5.0193";"-2.6584";"Apollonia";NULL
"800";"Kaap Apolonia";"5.0193";"-2.6584";"Apollonia";NULL
"801";"Kaap Appolonia";"5.0193";"-2.6584";"Apollonia";NULL
"802";"Kaap Cors";"5.1042";"-1.2418";"Cape Coast, Ghana, Africa";NULL
"803";"Kaap de Gaet";"36.7217";"-2.1929";"Cabo de Gata";NULL
"804";"Kaap de Goede Hoop";"-34.3569";"18.4966";"Cape of Good Hope, South Africa";NULL
"805";"Kaap Formosa";"4.2763";"6.0901";"Palm Point";NULL
"806";"Kaap Frio";"-22.9925";"-41.9877";"Cape Fio, Brazil";NULL
"807";"Kaap Grinez";"50.8699";"1.5838";"Cap Gris-Nez, France";NULL
"808";"Kaap Groot Mizurado";"6.313";"-10.8165";"Cape Mesurado";NULL
"809";"Kaap La Hou";"5.1354";"-5.0099";"Grand Lahou, Ivory Coast, Africa";NULL
"810";"Kaap Mizurado";"6.313";"-10.8165";"Cape Mesurado";NULL
"811";"Kaap Monte";"6.7239";"-11.3521";"Cape Mount, Liberia";NULL
"812";"Kaap/Tafelbaai";"-33.9";"18.4333";"Table Bay";"Tafelbaai"
"813";"Kaapsche rede";"-33.9";"18.4333";"Table Bay";"Tafelbaai"
"814";"Kaapstad";"-33.9153";"18.4114";"Cape Town";"Kaapstad"
"815";"Kasseraijen";"21.95";"88";"Khajuri, W Bengal, India";NULL
"816";"Kasteel van Boulijn";"38.6927";"-9.2159";"Torre de Belem near Lisboa";NULL
"817";"Kedgeree";"21.95";"88";"Khajuri, W Bengal, India";NULL
"818";"Kelay";"8.2914";"73.061";"Minicoy";NULL
"819";"Kema";"1.3887";"125.1036";"Teluk Kema, Sulawesi, Indonesia";NULL
"820";"Keppel";"-51.331";"-59.9651";"Saunders Island";NULL
"821";"Keppels Island";"-51.331";"-59.9651";"Saunders Island";NULL
"822";"Keppel's Island";"-51.331";"-59.9651";"Saunders Island";NULL
"823";"Keppler";"-51.331";"-59.9651";"Saunders Island";NULL
"824";"Kerkbaai";"-15.9057";"-5.6814";"Flagstaff bay, St Helena";NULL
"825";"Kijkduin";"52.071";"4.2226";"Kijkduin";NULL
"826";"Kingsale";"51.6101";"-8.5349";"Old Head of Kinsale";NULL
"827";"Kingsale, Ireland";"51.6101";"-8.5349";"Old Head of Kinsale";NULL
"828";"Kingston";"17.9667";"-76.8";"Kingston, Jamaica";NULL
"829";"Kinsale";"51.6101";"-8.5349";"Old Head of Kinsale";NULL
"830";"Kinsale, S Ireland";"51.6101";"-8.5349";"Old Head of Kinsale";NULL
"831";"Klein Kaap Mizurado";"6.3009";"-10.8014";"Cape False";NULL
"832";"Klein Popoo";"6.2309";"1.6052";"Anécho";NULL
"833";"Klijn Fortuijn";"-5.8925";"104.4434";"voor de kust van Sumatra";NULL
"834";"Klip de Rokol";"57.6";"-13.63333";"Rockall";NULL
"835";"Klip Rokol";"57.6";"-13.63333";"Rockall";NULL
"836";"Komenda";"5.0503";"-1.4873";"Komenda Point";NULL
"837";"Kraccatau";"-6.15";"105.43";"Krakatau, Indonesia";NULL
"838";"Krakatau (Cracatoa)";"-6.15";"105.43";"Krakatau, Indonesia";NULL
"839";"Kuria Muria isles, Oman (Juzur al Halan)";"17.5";"56";"Hallania Island";NULL
"840";"La Conception de Chili";"-36.8145";"-73.1573";NULL;NULL
"841";"La Coruna";"43.3638";"-8.3996";"La Coruna, Spain";NULL
"842";"La Darsena o Poza de los Martinez";"-47.7572";"-65.9";"Probably Puerto Deseado, Argentina";NULL
"843";"La Guayra";"10.61";"-66.8868";"La Guaira, Venezuela";NULL
"844";"La Habana";"23.1334";"-82.35";"Habana, Cuba";NULL
"845";"La Hou";"5.1354";"-5.0099";"Grand Lahou, Ivory Coast, Africa";NULL
"846";"Ladron";"21.9474";"113.725";"Ta-Wan Shan (Great Ladrone or Man Shan)";NULL
"847";"Lagos";"37.0978";"-8.6693";"Lagos, Portugal";NULL
"848";"Laguaijra";"10.61";"-66.8868";"La Guaira, Venezuela";NULL
"849";"Laguarija";"10.61";"-66.8868";"La Guaira, Venezuela";NULL
"850";"Lagullas";"-34.83";"20";"Cape Agulhas";NULL
"851";"Lampedosa";"35.4976";"12.5989";"Lampedusa Island";NULL
"852";"Lampidosa";"35.4976";"12.5989";"Lampedusa Island";NULL
"853";"Lands End";"50.0686";"-5.7171";"Land's End, Cornwall";NULL
"854";"Langle";"47.7712";"142.058";"Tomari, Sakhalin, Russia";NULL
"855";"Lanzarote";"29.1846";"-13.4844";"Lanzarote, Canary Islands, Spain";NULL
"856";"Las Aguas";"37.406";"-1.5822";"Aguilas, Spain";NULL
"857";"Las Aguilas";"37.406";"-1.5822";"Aguilas, Spain";NULL
"858";"last place of sounding (27th June)";"-36.1667";"26.56333";NULL;NULL
"859";"Light house";"42.3279";"-70.8901";"Boston Harbour Light";NULL
"860";"Lighthouse Charlestown";"32.7579";"-79.8432";NULL;NULL
"861";"Lighthouse, Charlestown";"32.7579";"-79.8432";NULL;NULL
"862";"Lingen (Kepulauan Lingga), Indonesia";"-0.2";"104.55";"Gunung Lingga";NULL
"863";"Lisbon";"38.7167";"-9.15";"Lisbon";"Lissabon"
"864";"Lissabon";"38.7167";"-9.15";"Lisbon";"Lissabon"
"865";"Little Burling";"39.4167";"-9.5069";"Ilha Velha. Ilha Berlenga";NULL
"866";"Livorno";"43.5547";"10.3114";"Livorno, Italy";NULL
"867";"Lizard";"49.959";"-5.2031";"Lizard, Cornwall, U.K.";NULL
"868";"Lizard Point";"49.959";"-5.2031";"Lizard, Cornwall, U.K.";NULL
"869";"Lizart";"49.959";"-5.2031";"Lizard, Cornwall, U.K.";NULL
"870";"Lobass isl, Peru (Lobos de Tierra)";"-6.4344";"-80.8554";"Isla Lobos de Tierra";NULL
"871";"Londoij";"51.1708";"-4.6673";"Lundy Island";NULL
"872";"London";"51.4769";"0";"Greenwich, London, UK";NULL
"873";"Long Key";"22.5816";"-74.3582";"Long Cay (Bahama's)";NULL
"874";"Lornboch";"-8.4189";"116.4603";"Lombok, Indonesia";NULL
"875";"Louisbourg";"45.9179";"-59.9662";"Louisburg";NULL
"876";"Low Island";"7.4937";"93.5471";"Probably Meroe Islet";NULL
"877";"Lubang";"13.8007";"120.3017";"Lubang Island";NULL
"878";"Lucipara";"-5.4833";"127.5167";"Pulau Pulau Maisel";NULL
"879";"Macao";"22.1721";"113.5427";"Macao";NULL
"880";"Macasser";"-5.1417";"119.4044";"Ujung Pandang, Indonesia";NULL
"881";"Madagascar";"-20.28";"44.28";NULL;NULL
"882";"Madagascar  (St Augustine)";"-23.5528";"43.7616";"St Augustine, Madagascar";NULL
"883";"Madagascar Bay";"-16";"50";"Antongil bay, Madagascar?";NULL
"884";"Madagascar east coast";"-18";"44";NULL;NULL
"885";"Madagascar W coast (Toliara)";"-23.33";"43.65";"Tulear";NULL
"886";"Madagascar, south tip";"-25.6";"45.15";NULL;NULL
"887";"Maddelene baaij";"79.5777";"10.8679";NULL;NULL
"888";"Madeira";"32.7499";"-16.9702";"Madeira, Portugal";NULL
"889";"Madeira (W end)";"32.8112";"-17.2483";"Madeira, Portugal";NULL
"890";"Madeira west end";"32.8112";"-17.2483";"Madeira, Portugal";NULL
"891";"Madera";"32.7499";"-16.9702";"Madeira, Portugal";NULL
"892";"Maderia";"32.7499";"-16.9702";"Madeira, Portugal";NULL
"893";"Madiera";"32.7499";"-16.9702";"Madeira, Portugal";NULL
"894";"Madras";"13.0797";"80.2869";"Madras, India (fort St George)";NULL
"895";"Madras Road";"13.1";"80.3333";NULL;NULL
"896";"Magdalen Islands";"47.3852";"-61.9126";"Iles de la Madeleine";NULL
"897";"Magdalena";"79.5777";"10.8679";"Magdalene baaij";NULL
"898";"Mahe Road";"-4.6211";"55.4775";NULL;NULL
"899";"Maisi";"20.245";"-74.15";"Cape Maysi";NULL
"900";"Makasser";"-5.1417";"119.4044";"Ujung Pandang, Indonesia";NULL
"901";"Malacca Town";"2.178391667";"102.240075";"Melaka, Malaysia";NULL
"902";"Malakka";"2.178391667";"102.240075";"Melaka, Malaysia";NULL
"903";"Maldonado";"-34.961";"-54.9484";NULL;NULL
"904";"Manapaar";"8.3729";"78.066";"Probably Kulasakarappattinam";NULL
"905";"Maneter";"-5.9572";"106.5209";"Pulau Laki, Rif van Menscheneter";NULL
"906";"Mangalore";"12.8439";"74.8348";NULL;NULL
"907";"Mangalore (Bassalore), India";"12.8439";"74.8348";NULL;NULL
"908";"Manila";"14.5935";"120.9504";NULL;NULL
"909";"Manilla";"14.5935";"120.9504";NULL;NULL
"910";"Manilla, Philippines";"14.5935";"120.9504";NULL;NULL
"911";"Mannan";"44.7045";"-66.8086";"Grand Manan Island";NULL
"912";"Mansel Bay";"-34.1731";"22.1443";"Mossel Bay";"Mosselbaai"
"913";"Mansfield Isl HB";"62";"-79.8";"Mansel Island";NULL
"914";"Mapulipatam";"16.1667";"81.25";"Masulipatam (Machilipatnam) Roads";NULL
"915";"Maranon";"-1.8763";"-44.5388";"Porto Rico de Maranhao";NULL
"916";"MARAÑÓN";"-1.8763";"-44.5388";"Porto Rico de Maranhao";NULL
"917";"Marcera";"20.3961";"58.7779";"Masirah";NULL
"918";"Marcera, N end";"20.6568";"58.8911";"Masirah";NULL
"919";"Maregat";"51.3881";"1.3795";"Margate, Kent, England";NULL
"920";"Mareira Road";"32.6447";"-16.9098";"Funchal, Madeira, Portugal";NULL
"921";"Margate";"51.3881";"1.3795";"Margate, Kent, England";NULL
"922";"Marseille";"43.2948";"5.3695";"Marseille, France";NULL
"923";"Marstrand";"57.886";"11.6105";"Marstrand";NULL
"924";"Marteen Point";"25.3182";"-80.279";NULL;NULL
"925";"Martin Vaz, S Atlantic (I. do Norte)";"-20.5";"-28.85";"Ilha do Norte";NULL
"926";"Marvile Bay Madagascar";"-17.6632";"49.5102";"Foulpointe";NULL
"927";"Marvile Madagascar";"-17.6758";"49.5158";"Foulpointe";NULL
"928";"Masafuera";"-33.7667";"-80.7969";"Alejandro Selkirk Island";NULL
"929";"Mascareigne island(s)= Mauritius+Reunion";"-20.75";"56.6";NULL;NULL
"930";"Masirah Island, Oman";"20.3961";"58.7779";"Masirah";NULL
"931";"Masulipatnam";"16.1667";"81.25";"Masulipatam";NULL
"932";"Matanzas";"23.0477";"-81.5671";"Matanzas, Cuba";NULL
"933";"Matanze";"23.0477";"-81.5671";"Matanzas, Cuba";NULL
"934";"Matanzes";"23.0477";"-81.5671";"Matanzas, Cuba";NULL
"935";"Matanzes (Cuba)";"23.0477";"-81.5671";"Matanzas, Cuba";NULL
"936";"Matapica kreek";"5.9901";"-54.9139";"Matapica kreek, Surinam";NULL
"937";"Mauritius";"-20.198";"57.5298";NULL;NULL
"938";"Mavile Bay";"-17.6632";"49.5102";"Foulpointe";NULL
"939";"Mayaguana";"22.3897";"-72.9641";"Mayaguana Island";NULL
"940";"Mayaguana isl, WI (near Heneago)";"22.3897";"-72.9641";"Mayaguana Island";NULL
"941";"Mayaguano";"22.3897";"-72.9641";"Mayaguana Island";NULL
"942";"Mayo";"15.2271";"-23.1307";"Maio, Cape Verde";NULL
"943";"Mazulipatnam";"16.1667";"81.25";"Masulipatam";NULL
"944";"Meekness";"62.1";"-7.6";"Mykines, Faroe Islands, Denmark";NULL
"945";"Meeuwebaai";"-6.7";"105.3";"Teluk Peutjang, Java, Indonesia";NULL
"946";"Melilla";"35.2786";"-2.9393";"Melilla, Spain (North African Coast)";NULL
"947";"Menado";"1.4967";"124.8413";"Manado, Celebs, Indonesia";NULL
"948";"Meroic";"7.4937";"93.5471";"Meroe Islet";NULL
"949";"Mesurado";"6.313";"-10.8165";"Cape Mesurado";NULL
"950";"Mettreciff (Mega Island) (Pulan)";"-4.0119";"101.0544";"Pulau Mega";NULL
"951";"Middelburg (NL)";"51.5";"3.6";"Middelburg, Netherlands";NULL
"952";"Middelburg Eiland";"-5.9428";"106.5212";"Pulau Laki";NULL
"953";"Mocha (Al Mukha), Yemen";"13.3183";"43.2355";NULL;NULL
"954";"Mohelo (Moheli) island (near Anjouan)";"-12.3243";"43.7084";"Moheli";NULL
"955";"Mohilla";"-12.3243";"43.7084";"Moheli";NULL
"956";"Mohilla Island";"-12.3243";"43.7084";"Moheli";NULL
"957";"Mole";"19.8076";"-73.3784";"Mole Saint-Nicolas";NULL
"958";"Monomotapa";"-26.8452";"32.895";"Ponta do Ouro";NULL
"959";"Monopin Hill";"-2.015";"105.1779";"Mount Monopin";NULL
"960";"Monserrat";"16.7118";"-62.1758";"Montserrat";NULL
"961";"Montague Isle";"60.0436";"-147.4787";"Montague Island, Alaska, USA";NULL
"962";"Monte Christo";"19.8592";"-71.6585";NULL;NULL
"963";"Montecristi";"19.8592";"-71.6585";NULL;NULL
"964";"Montecristo";"19.8592";"-71.6585";NULL;NULL
"965";"Monterey";"36.6069";"-121.8879";"Monterey, California, USA";NULL
"966";"Montevideo";"-34.8904";"-56.2193";NULL;NULL
"967";"Montock Point";"41.0713";"-71.8583";"Montauk Point";NULL
"968";"Montosa, Mexico (Pacific coast)";"7.45";"-82.16667";"Isla Montuosa";NULL
"969";"Montserat";"16.7118";"-62.1758";"Montserrat";NULL
"970";"Monzerado";"6.313";"-10.8165";"Cape Mesurado";NULL
"971";"Moro Castle Havana";"23.1505";"-82.3569";"La Habana";NULL
"972";"Motkreek (Suriname)";"5.9861";"-54.8564";NULL;NULL
"973";"Mount Brabant";"-20.4514";"57.3257";"The Morne";NULL
"974";"Mount Brabant, Mauritius";"-20.4514";"57.3257";"The Morne";NULL
"975";"Mount Formosa";"23.4718";"120.9597";NULL;NULL
"976";"Mounto Christo";"19.8592";"-71.6585";"Monte Christi";NULL
"977";"Mountsbaai";"50.085";"-5.5";"Mounts Bay, Cornwall, England";NULL
"978";"Mozambique";"-15.0381";"40.73";NULL;NULL
"979";"Muscat";"23.6167";"58.5833";"Muscat";NULL
"980";"Muscat (Masqat), Oman";"23.6167";"58.5833";"Muscat";NULL
"981";"Muscatte";"23.6167";"58.5833";"Muscat";NULL
"982";"N Cacos";"21.9";"-71.95";"North Caicos Island";NULL
"983";"Nagapalnam";"10.75276667";"79.84629167";"Nagappattinam";NULL
"984";"Nagapatnam";"10.75276667";"79.84629167";"Nagappattinam";NULL
"985";"Nagasaki";"32.7415";"129.8689";"Nagasaki, Japan";NULL
"986";"Nantucket";"41.2732";"-70.0928";"Nantucket Island";NULL
"987";"Naples";"40.8316";"14.2478";NULL;NULL
"988";"Narcondam, E of Andaman Isls.";"13.4493";"94.2673";NULL;NULL
"989";"Narwick";"68.4402";"17.4255";"Narvick, Norway";NULL
"990";"Nasareth";"-0.6667";"9.05";"Baie de Nazare";NULL
"991";"Natal";"-29.85";"31.0546";"Durban";NULL
"992";"Navassa";"18.4007";"-75.0087";NULL;NULL
"993";"Negapatam";"10.75276667";"79.84629167";"Nagappattinam";NULL
"994";"Negapatam Fort";"10.75276667";"79.84629167";"Nagappattinam";NULL
"995";"Negrais Burma";"16.05";"94.2";"Cape Negrais";NULL
"996";"Never Sunk";"40.3963";"-73.9857";"Navesink";NULL
"997";"Neversunk";"40.3963";"-73.9857";"Navesink";NULL
"998";"Nevis";"17.154";"-62.582";"Nevis Peak";NULL
"999";"New York";"40.7091";"-74.0114";NULL;NULL
"1000";"New York, NY (Coney Island)";"40.58";"-73.97";NULL;NULL
"1001";"Newport Rhode Island";"41.4812";"-71.3217";NULL;NULL
"1002";"Nicobar Island";"7.1443";"93.8445";"Great Nicobar Island";NULL
"1003";"Nicobar Islands";"7.1443";"93.8445";"Great Nicobar Island";NULL
"1004";"Nicopatam";"10.75276667";"79.84629167";"Nagappattinam";NULL
"1005";"Nieuwe Diep";"52.9646";"4.787";"Den Helder";NULL
"1006";"Nieuwe Fort Amsterdam";"5.8884";"-55.0917";"Nieuw Amsterdam, Suriname";NULL
"1007";"Nieuwediep";"52.9646";"4.787";"Den Helder";NULL
"1008";"Nieuwendiep";"52.9646";"4.787";"Den Helder";NULL
"1009";"NL_0_01";"0";"-22";NULL;NULL
"1010";"NL_0_02";"0";"-19";NULL;NULL
"1011";"NL_0_03";"0";"-21.6";NULL;NULL
"1012";"NL_0_04";"0";"-20.9";NULL;NULL
"1013";"Noahiwa";"-8.85";"-140.1";"Nuku Hiva";NULL
"1014";"Noordbaaij";"78.5";"15";"Nordfjorden, Svalbard?";NULL
"1015";"Norfolk";"36.9065";"-76.3137";"Norfolk, Virginia, USA";NULL
"1016";"Norfolk Sound";"56.9";"-135.7";"Sitka Sound";NULL
"1017";"North Cape";"71.1646";"25.7949";"Nordkapp";NULL
"1018";"North Cape of Maquilon";"47.1363";"-56.3492";"Cap Miquelon";NULL
"1019";"North Foreland";"51.3713";"1.4435";NULL;NULL
"1020";"Nottingham isl. HB";"63.3";"-77.7";NULL;NULL
"1021";"Nutka";"49.5992";"-126.8455";"Nootka, Vancouver Island, Brittish Columbia, Canada";NULL
"1022";"NW end of Bahamas";"26.7045";"-78.9946";"West End Point on Grand Bahama";NULL
"1023";"NW point of Corcas Quays";"21.8552";"-72.3292";"NW point of Caicos Islands";NULL
"1024";"Ocracoke";"35.1089";"-75.9864";"On the Outer Banks between Cape Hattaras and Cape Lookout";NULL
"1025";"Oedjong Panka";"-6.8717";"112.4379";"Ujung Pangka, Indonesia";NULL
"1026";"Old Head";"51.6101";"-8.5349";"Old Head of Kinsale";NULL
"1027";"Old Head of Kingsale";"51.6101";"-8.5349";"Old Head of Kinsale";NULL
"1028";"Old Head of Kinsale";"51.6101";"-8.5349";"Old Head of Kinsale";NULL
"1029";"Old Road";"17.3154";"-62.7863";"Old Road Town, St. Kitts, W.I.";NULL
"1030";"Old Road ? St Christoffel";"17.3154";"-62.7863";"Old Road Town, St Kitts, W.I.";NULL
"1031";"Olraad";"17.3154";"-62.7863";"Old Road Town, St. Kitts, W.I.";NULL
"1032";"Olrad";"17.3154";"-62.7863";"Old Road Town, St. Kitts, W.I.";NULL
"1033";"Omorero";"3.2406";"46.8316";NULL;NULL
"1034";"Onrust";"-6.0337";"106.7349";NULL;NULL
"1035";"Oporto";"41.1469";"-8.6261";NULL;NULL
"1036";"Oran";"35.7095";"-0.6381";"Oran";NULL
"1037";"Orkney";"58.8788";"-3.4096";NULL;NULL
"1038";"Orkneys";"59.05";"-3.15";NULL;NULL
"1039";"Osnaburg Island";"-17.88";"-148.08";"Mahetia";NULL
"1040";"Oude Schildt";"53.0402";"4.8522";"Oudeschild, Texel, the Netherlands";NULL
"1041";"Ouidah";"6.3251";"2.0901";"Ouidah";NULL
"1042";"Owhyhee, Kararkakooa Bay";"19.4773";"-155.9265";"Kealakekua Bay, Hawaii";NULL
"1043";"P Panjang";"-5.9333";"106.15";"Pulau Pandjang";NULL
"1044";"P. Babie";"-5.8122";"106.2804";"Pulay Tunda";NULL
"1045";"P. Panjangh";"-5.9333";"106.15";"Pulau Pandjang";NULL
"1046";"P. Pedang";"-1.0002";"100.3784";"Padang, Sumatra, Indonesia";NULL
"1047";"Padang";"-1.0002";"100.3784";"Padang, Sumatra, Indonesia";NULL
"1048";"Paita";"-5.0742";"-81.1";"Paita, Peru";NULL
"1049";"Pallas Islands";"7.4791";"134.5571";"Palau Islands";NULL
"1050";"Palliacatte op de Coromandelkust";"13.4167";"80.3167";"Pullicat";NULL
"1051";"Palma";"28.7542";"-17.8852";"La Palma, Canaries";NULL
"1052";"Palmiras";"20.7649";"86.9886";"Palmyras Point";NULL
"1053";"Palmiras (meridian Distance)";"20.7649";"86.9886";"Palmyras Point";NULL
"1054";"Palos";"7.4791";"134.5571";"Palau Islands";NULL
"1055";"Pampus";"52.3648";"5.069";"Pampus, the Netherlands";NULL
